SubjectArea,Subject,Term,Definition
Science,Science,Abiotic,"Existing as a non-living condition or thing in an ecosystem, such as sunlight, temperature, air, rocks and water."
Science,Science,AC (alternating current),An electric current that reverses direction periodically; commonly used in homes and businesses for electricity.
Science,Science,Accuracy,The closeness of a single measurement to a true or accepted value.
Science,Science,Adaptation,A physical or behavioural characteristic that is inherited and that results in an individual being more likely to survive and reproduce in its environment.
Science,Science,Anomaly,"A rare event, item or observation that differs significantly from standard behaviours or patterns."
Science,Science,Asia--Pacific,"Describes countries across Asia, including Australasia and the Pacific Island nations."
Science,Science,Atomic theory of matter,"A theory proposed by John Dalton, which can be summarised as follows: - All matter is made of atoms that are indivisible and indestructible. - All atoms of a given element are identical in mass and properties. - Compounds are formed by a combination of 2 or more different kinds of atoms. - A chemical reaction is a rearrangement of atoms."
Science,Science,Bias,"Any trend or deviation from the truth in data collection, data analysis, interpretation and publication that may lead to false conclusions being drawn; bias can occur either intentionally or unintentionally."
Science,Science,Biotic,"Existing as a living component of an ecosystem, such as plants, animals and bacteria."
Science,Science,Causation,A relationship in which one event is the result of the occurrence of the other event. A carefully designed experiment can provide information about causation. *See also: correlation*
Science,Science,Cell theory,"A theory proposed by Theodor Schwann, which can be summarised as follows: - All organisms are made of cells. - Cells are the basic units of life. - Cells come from pre-existing cells that have multiplied."
Science,Science,Change of state,"The change of a substance from one physical state of matter (solid, liquid, gas) to another."
Science,Science,Characteristic,"A distinguishing aspect (including features and behaviours) of an object, material, living thing or event."
Science,Science,Chemical change,"A change in which a substance cannot be easily returned to its previous state, or when 2 or more substances combine to form new substances. Chemical changes produce new substances and are usually not reversible. Examples include cooking of an egg, burning of wood, rusting of iron and a cement mixture setting as concrete."
Science,Science,Claim,An assertion that something is true.
Science,Science,Climate,"The average weather conditions (temperature, precipitation and other weather factors) over several years in a particular place."
Science,Science,Conclusion,A judgement based on evidence.
Science,Science,Condensation,The change of state from a liquid to a gas (or of water vapour to liquid water when on a cool surface).
Science,Science,Conductor,"A material through which heat, sound or electrical energy is freely transferred."
Science,Science,Consumer (biology),A living thing that cannot make its own food and must feed on other living things (or living things that have died) to survive.
Science,Science,Controlled variable,A variable that is kept constant (or changed in constant ways) during an investigation.
Science,Science,Convergent boundary,"The place at which 2 tectonic plates collide (e.g. the Pacific Ring of Fire); a chain of volcanoes often forms parallel to convergent plate boundaries and powerful earthquakes are common along these boundaries, with continental crust being made and oceanic crust being destroyed."
Science,Science,Correlation,A measure of a relationship that describes the change of a variable in relation to one or more other variables. *See also: causation*
Science,Science,Country,"The physical environment that a particular Aboriginal and Torres Strait Islander Peoples' group has a relationship with. Referring to this territory as 'Country', rather than land, indicates a reciprocal and deep relationship and one where Country both owns and is owned by the People. The concept of Country includes lands, waters and sky."
Science,Science,Data,"A set of observations or measurements generated during an investigation that may be quantitative (e.g. volume, temperature, pH) or qualitative (e.g. colour, shape, texture); primary data is collected by the user while secondary data is collected by others."
Science,Science,Data generation,"The creation or production of new data that can be achieved through various means (e.g. performing experiments, conducting surveys, testing products/designs, collecting data from sources and generating data through algorithms and simulations)."
Science,Science,DC (direct current),"An electric current that flows in one direction without changing its polarity; batteries, electronic devices and some specialised industrial applications can use direct current."
Science,Science,Decomposer (biology),A living thing such as fungi and bacteria that breaks down dead organic material.
Science,Science,Decomposition (chemistry),"A type of chemical reaction in which a compound breaks down into 2 or more simpler products. Most decomposition reactions require an input of energy in the form of heat, light or electricity. The general form of a decomposition reaction is AB → A + B."
Science,Science,Dependent variable,A variable that changes in response to changes to the independent variable in an investigation.
Science,Science,Deposition,"The process in which sediments, soil and rocks are laid down so that new landforms or land masses are formed or modified."
Science,Science,Dichotomous key,"A tool used to identify different living and non-living things, based on their observable features, characteristics or traits. Dichotomous keys consist of a series of statements with 2 choices in each statement that will lead users to the correct identification."
Science,Science,Digital tools,"Digital hardware, software, platforms and resources used to develop and communicate learning, ideas and information."
Science,Science,Displacement (chemistry),A type of chemical reaction (also called a replacement reaction) that may occur when: - one atom (or group of atoms) in a compound is replaced by another atom (or group of atoms); this is further classified as a single-displacement reaction. The general form of a single-displacement reaction is AB + C → AC + B - two compounds react to form 2 new components; this is further classified as a double-displacement reaction. The general form of a double-displacement reaction is AB + CD → AC + BD.
Science,Science,Divergent boundary,"A boundary that occurs when 2 tectonic plates move away from each other (e.g. the Mid-Atlantic Ridge); along divergent boundaries, earthquakes are common and magma (molten rock) rises from Earth's mantle to the surface, solidifying to create new oceanic crust."
Science,Science,Earth's systems,"The interrelated, interdependent physical, chemical and biological processes that support and sustain ecological integrity, consisting of the atmosphere, biosphere, hydrosphere and lithosphere."
Science,Science,Endothermic,"A chemical reaction that absorbs energy from its surroundings. Examples include photosynthesis, the evaporation of water and the dissolution of ammonium nitrate in water."
Science,Science,Energy,"The capacity of an object to do work or transfer heat; energy exists in different forms (e.g. potential, kinetic, electrical, chemical, thermal, mechanical, electromagnetic, nuclear, light, sound)."
Science,Science,Energy transfer,"The movement of energy from one place to another through conduction, convection or radiation."
Science,Science,Energy transformation,The change of energy from one form to another (e.g. electrical energy to light energy).
Science,Science,Environment,"All the surroundings, living and non-living."
Science,Science,Erosion,"The process by which soil, rocks and other surface materials of Earth are worn away, such as by the action of water, glaciers, wind or waves or by human actions, and are carried away from their original locations to other locations."
Science,Science,Evaporation,The transfer of water from the surface of Earth to the atmosphere; heat energy from the Sun causes liquid water to change its state to water vapour and to rise up through the atmosphere.
Science,Science,Evidence,"Data that is considered reliable and valid, and that can be used to support a particular idea, conclusion or decision."
Science,Science,Exothermic,"A chemical reaction that releases energy to its surroundings, generally in the form of heat or light. Examples include hydrocarbon combustion, the burning of a candle, neutralisation reactions and respiration."
Science,Science,Fair test,An investigation in which one variable (the independent variable) is changed and all other conditions (controlled variables) are kept the same; the dependent variable is what is measured or observed.
Science,Science,Food chain,"A linear sequence representing organisms, which begins with a producer and ends with a consumer or a decomposer and shows the order in which living things depend on each other for food; each arrow in a food chain (→) starts at a consumed organism and points to the organism that consumes it (e.g. grass → cricket → emu → dingo). The arrow can be read as 'is eaten by'."
Science,Science,Food pyramid (ecology),"A graphical representation of the hierarchy of food relationships in an ecosystem; the pyramid shows energy flow and biomass distribution among different trophic levels in an ecosystem, with the base of the pyramid consisting of primary producers or autotrophs and the higher levels consisting of consumers or heterotrophs."
Science,Science,Food web,"A representation of the feeding relationships in an ecosystem, typically made up of several interconnected food chains."
Science,Science,Force,"A push or pull between objects, which may cause one or both objects to change speed and/or direction of their motion or change their shape."
Science,Science,Force diagram,"A representation that shows the forces acting on an object. Each force is represented as a force arrow and shows the size of the force (the longer the arrow, the bigger the force) and the direction in which the force acts. The arrow is usually labelled with the name of the force and its magnitude in newtons (N)."
Science,Science,Formal measurement,"A measurement based on an agreed standard unit (e.g. metre, second, kilogram)."
Science,Science,Fossil,"Any preserved remains, impressions or traces of any once-living thing, which may include the organism's remains, such as plant or animal tissues, shells, teeth or bones, but can also include trace fossils (tracks, trails, burrows, faeces) and preserved organic chemicals."
Science,Science,Greenhouse effect,A natural process that warms Earth's surface and the atmosphere. It occurs when the Sun's energy reaches Earth's atmosphere: some energy is reflected back into space and the rest is absorbed and re-radiated by greenhouse gases. The enhanced greenhouse effect is primarily driven by human activities and is a major contributor to global warming and climate change.
Science,Science,Greenhouse gas,"A substance in Earth's atmosphere that can trap heat, leading to the greenhouse effect. Greenhouse gases include carbon dioxide (CO~2~), methane (CH~4~), water vapour (H~2~O), nitrous oxide (N~2~O), ozone (O~3~) and chlorofluorocarbons (CFCs)."
